name,promise_detail,has_promise
윤석열,코로나 극복 긴급구조 및 포스트 코로나 플랜,true
윤석열,지속가능한 좋은 일자리 창출,true
윤석열,수요에 부응하는 주택 250만호 이상 공급,true
윤석열,스마트하고 공정하게 봉사하는 ‘디지털 플랫폼 정부’구현과 대통령실 개혁,true
윤석열,과학기술 추격국가에서 원천기술 선도국가로,true
윤석열,출산 준비부터 산후조리·양육까지 국가책임 강화,true
윤석열,청년이 내일을 꿈꾸고 국민이 공감하는 공정한 사회-여성가족부 폐지,false
윤석열,당당한 외교 튼튼한 안보,true
윤석열,실현 가능한 탄소중립과 원전 최강국 건설,false
윤석열,공정한 교육과 미래인재 육성 모두가 누리는 문화복지,false
김동연,창업이 두렵지 않은 나라 만듦,true
김동연,(안전권) 청년들이 안전할 권리를 보장,true
김동연,수도권 대학 지방 이전으로 인재균형 달성,false
오세훈,서울 시민의 건강 증진을 위한 공공 체육시설 확충,true
오세훈,공공 Wi-Fi 네트워크 강화로 디지털 격차 해소,false
오세훈,저탄소 건축물 확대를 통한 도시환경 개선,true
오세훈,서울형 재난대응 시스템 고도화,false
오세훈,미래지향적 청년 정책 강화,true
오세훈,한강 르네상스 프로젝트 확대,false
김진태,강원도 지역 대학 연계 산학협력 프로그램 강화,true
김진태,산불 대응력 강화를 위한 첨단 장비 지원,false
김진태,지역 특화 관광 상품 개발 및 홍보,true
김진태,강원도 디지털 산업 클러스터 조성,true
김진태,농산물 유통 현대화를 위한 스마트 물류센터 구축,false
김진태,동해안 생태관광 활성화,true
김영환,충북 전 지역 초고속 인터넷망 구축,true
김영환,중소기업 전용 대출 상품 확대,false
김영환,노인 복지 정책 강화 및 경로당 지원,true
김영환,충북 바이오산업 혁신 클러스터 조성,true
김영환,친환경 농업 확산을 위한 지원책 강화,false
김영환,도시-농촌 연계 교통망 개선,true
김태흠,충남 서해안 해양 레저 관광 활성화,false
김태흠,농촌 지역 고령화 대응 스마트 돌봄 시스템 구축,true
김태흠,지역 기반 탄소중립 모델 구축,true
김태흠,농업 혁신 기술 지원 플랫폼 구축,true
김태흠,도시-농촌 간 교류 활성화를 위한 축제 개최,false
김태흠,충남 내 공공의료시설 확대,true
이철우,경북 전통문화 체험 관광 활성화,true
이철우,소규모 농업인 지원 정책 확대,false
이철우,도시와 농촌 간 교육 격차 해소 프로그램 도입,true
이철우,첨단 반도체 산업 육성을 위한 연구소 설립,true
이철우,지역 주민 주도형 도시 재생 프로젝트,false
이철우,전통시장 현대화 및 청년 창업 지원,true
박완수,경남 지역 균형 발전을 위한 인프라 투자,false
박완수,경남 스마트 물류센터 조성,true
박완수,지역 주민 참여형 마을 발전 사업 강화,true
박완수,친환경 에너지 단지 조성,true
박완수,농업 생산성을 높이는 스마트팜 지원 확대,false
박완수,경남 관광벨트 조성을 위한 인프라 구축,true
김관영,전북 지역 청년 농업인 육성 프로그램 운영,true
김관영,지역 소상공인 전용 융자 지원,false
김관영,전북 전통 문화유산 디지털화 사업,true
김관영,지역 특화 산업 육성 클러스터 설립,true
김관영,전북 내 공공 보육센터 확대,false
김관영,친환경 농산물 소비 촉진 캠페인,true
김영록,전남 스마트 어업단지 구축 및 시범 운영,true
김영록,농어촌 지역 청년 귀농 지원 프로그램,false
김영록,친환경 수소 생산 및 유통 기반 조성,true
김영록,전남 내 해양 바이오 산업 육성,true
김영록,농촌 마을 가꾸기 및 주민 주도형 개발 프로젝트,false
김영록,지역 교육 격차 해소를 위한 장학금 제도 확대,true
오영훈,제주 전통 5일장 활성화 및 현대화 지원,true
오영훈,공공기관 탄소 배출 저감 목표 설정,false
오영훈,제주도 내 무공해 대중교통 100% 도입,true
오영훈,제주 관광산업 디지털 전환 지원,true
오영훈,지역 주민 참여형 환경 보호 프로그램,false
오영훈,도시 숲 조성을 통한 녹색 도시 구축,true
이재명,기본소득을 통한 경제적 불평등 완화,true
이재명,주택공급 확대와 전월세 상한제 강화,true
이재명,2050 탄소중립 달성을 위한 친환경 에너지 확대,true
홍준표,중소기업 경쟁력 강화와 규제 완화,false
홍준표,국방력 강화 및 군인 복지 향상,true
홍준표,기초연금 상향 및 노인복지 강화,true
심상정,노동자 권익 보호 및 최저임금 인상,true
심상정,여성 인권 신장과 젠더평등 강화,false
심상정,그린뉴딜 정책을 통한 지속가능한 경제 구축,true
안철수,4차 산업혁명 대비 AI 및 IT 기술 개발 투자,true
안철수,교육 격차 해소를 위한 공교육 지원 확대,true
안철수,소상공인 및 자영업자 지원 확대,false
허경영,결혼 지원금 1억 원 지급 정책,true
허경영,병역 의무 단축 및 군복무 간 급여 인상,false
허경영,국민 기본소득 지급 정책,true
오준호,기본소득 보장과 전국민 복지 체계 구축,true
오준호,기후 위기 대응을 위한 재생에너지 확대,true
오준호,사회적 약자를 위한 주거복지 강화,false
조원진,애국 보수 정책을 통한 국가 정체성 강화,true
조원진,북핵 위협 대비한 안보 체계 강화,true
조원진,전통문화 계승 및 보존 정책,false
옥은호,소수자 권리 보호 및 차별 철폐,true
옥은호,기본소득 기반 사회안전망 구축,true
옥은호,농업 발전 및 농민 지원 정책 강화,false
도지사후보1,도지사후보공약1,true
도지사후보1,도지사후보공약2,true
도지사후보2,도지사후보공약1,true
도지사후보2,도지사후보공약2,true
도지사후보3,도지사후보공약1,true
도지사후보3,도지사후보공약2,true
도지사후보4,도지사후보공약1,true
도지사후보4,도지사후보공약2,true
도지사후보5,도지사후보공약1,true
도지사후보5,도지사후보공약2,true
도지사후보6,도지사후보공약1,true
도지사후보6,도지사후보공약2,true
도지사후보7,도지사후보공약1,true
도지사후보7,도지사후보공약2,true
도지사후보8,도지사후보공약1,true
도지사후보8,도지사후보공약2,true
도지사후보9,도지사후보공약1,true
도지사후보9,도지사후보공약2,true
